@relation dataset_shuffled-weka.filters.unsupervised.attribute.Remove-R1

@attribute degree {CdS4,CdS3}
@attribute cohort numeric
@attribute gender {M,F}
@attribute school {LS,TC,LC,AL,IT,IP,IA,LL}
@attribute test numeric
@attribute total_cfu numeric
@attribute total_cfu_g numeric
@attribute avg_g numeric
@attribute math_course_g numeric
@attribute math_course_d {2017-02-23,0000-00-00,2016-09-20,2012-02-10,2014-09-17,2017-02-02,2016-02-24,2013-02-07,2015-06-18,2011-07-06,2013-07-02,2017-07-13,2017-06-27,2015-01-15,2016-07-11,2015-02-05,2017-01-18,2018-02-22,2014-02-27,2012-09-14,2014-01-16,2017-06-13,2013-02-28,2011-09-23,2013-01-15,2016-07-13,2014-02-06,2017-01-19,2014-07-10,2016-06-14,2016-06-20,2015-02-26,2011-03-04,2016-01-19,2016-07-28,2016-06-29,2015-09-17,2015-07-15,2011-02-25,2015-01-14,2017-02-15,2013-06-18,2015-06-09,2016-09-06,2016-07-19,2016-02-08,2015-02-10,2012-01-18,2014-06-17,2012-06-11,2011-06-23,2017-09-13,2015-07-23,2011-07-11}

@data
CdS4,2016,M,LS,9.75,63,60,26,25,2017-02-23
CdS3,2015,F,LS,12,12,12,23,0,0000-00-00
CdS4,2014,M,TC,13,24,24,27,0,0000-00-00
CdS3,2015,F,LC,8,36,33,25,20,2016-09-20
CdS4,2012,M,AL,6,3,0,0,0,0000-00-00
CdS4,2016,M,IT,6.5,39,36,22,0,0000-00-00
CdS4,2011,F,LS,12,36,36,23,21,2012-02-10
CdS3,2011,F,LS,9,42,42,27,21,2014-09-17
CdS4,2016,M,LS,3.75,48,48,21,18,2017-02-02
CdS4,2010,M,IT,15,51,48,27,19,2016-02-24
CdS3,2011,M,AL,8,30,30,27,21,2014-09-17
CdS4,2012,M,IT,11,36,36,23,18,2013-02-07
CdS3,2012,M,LS,14,27,27,27,0,0000-00-00
CdS4,2013,M,IT,6,39,36,22,18,2015-06-18
CdS3,2015,F,IP,2,24,21,25,0,0000-00-00
CdS3,2010,F,IA,15,21,21,27,0,0000-00-00
CdS3,2010,M,LS,16,35,33,23,21,2011-07-06
CdS4,2016,M,IT,-0.75,27,24,26,0,0000-00-00
CdS4,2012,M,AL,6,24,24,22,0,0000-00-00
CdS4,2015,F,LS,21,48,48,26,22,2016-02-24
CdS4,2012,M,LS,7,27,24,24,23,2013-07-02
CdS4,2013,F,IT,16,15,12,23,18,2017-07-13
CdS3,2016,F,LS,12.5,36,33,26,24,2017-06-27
CdS4,2011,M,LS,13,27,24,23,20,2015-01-15
CdS4,2016,M,TC,1.5,12,12,23,0,0000-00-00
CdS3,2014,M,IP,3,21,18,20,0,0000-00-00
CdS4,2015,F,LS,10,36,36,23,19,2016-07-11
CdS4,2012,F,AL,8,36,36,24,19,2016-07-11
CdS4,2014,M,LS,17,27,24,23,19,2015-02-05
CdS3,2015,F,LS,17,36,33,27,28,2017-01-18
