index,degree,cohort,gender,school,test,total_cfu,total_cfu_g,avg_g,math_course_g,math_course_d,mat_class
0,CdS3,2016,F,LS,7.5,24,21,24,0,0000-00-00,no
1,CdS3,2010,M,TC,9.0,6,6,21,0,0000-00-00,no
2,CdS4,2015,M,LS,19.0,60,60,23,23,2016-01-19,yes
3,CdS3,2011,F,LS,13.0,6,6,18,0,0000-00-00,no
4,CdS4,2010,M,LS,17.0,48,48,26,22,2011-03-04,yes
5,CdS3,2012,F,AL,11.0,6,6,28,0,0000-00-00,no
6,CdS4,2013,F,IT,10.0,27,24,24,0,0000-00-00,no
7,CdS3,2010,M,LS,11.0,18,18,28,0,0000-00-00,no
8,CdS3,2012,F,LC,9.0,12,12,25,0,0000-00-00,no
9,CdS4,2013,F,IT,8.0,39,36,24,18,2016-07-11,yes
10,CdS4,2012,M,LS,13.0,39,36,23,18,2013-01-15,yes
11,CdS4,2010,M,LS,13.0,39,39,26,18,2014-02-06,yes
12,CdS3,2015,F,LC,8.0,36,33,25,20,2016-09-20,yes
13,CdS4,2010,M,LS,14.0,6,3,25,0,0000-00-00,no
14,CdS3,2016,M,LC,7.75,6,6,25,0,0000-00-00,no
15,CdS3,2011,M,LS,23.0,33,33,28,27,2012-06-11,yes
16,CdS3,2010,M,LS,22.0,21,21,28,27,2011-02-25,yes
17,CdS3,2014,M,LC,7.0,21,21,23,0,0000-00-00,no
18,CdS3,2016,F,LS,4.75,24,21,23,20,2017-09-13,yes
19,CdS3,2010,M,LS,16.0,6,6,20,0,0000-00-00,no
20,CdS4,2013,M,IT,17.0,24,24,26,18,2015-06-18,yes
21,CdS4,2016,F,LS,1.75,27,24,23,0,0000-00-00,no
22,CdS3,2010,F,LS,16.0,39,39,26,19,2011-02-25,yes
23,CdS3,2012,F,IT,9.0,21,21,24,0,0000-00-00,no
24,CdS3,2016,F,IT,-1.75,6,6,21,0,0000-00-00,no
25,CdS3,2014,F,AL,9.0,3,0,0,0,0000-00-00,no
26,CdS3,2014,M,TC,11.0,24,24,26,0,0000-00-00,no
27,CdS4,2016,F,IT,6.75,27,24,22,20,2017-01-19,yes
28,CdS4,2012,M,IT,15.0,39,36,25,28,2013-02-07,yes
29,CdS4,2010,M,LS,12.0,33,30,24,23,2014-07-10,yes
30,CdS3,2015,F,LS,17.0,6,6,25,0,0000-00-00,no
31,CdS3,2014,M,LS,13.0,27,24,26,0,0000-00-00,no
32,CdS4,2014,M,IT,6.0,12,12,23,0,0000-00-00,no
33,CdS4,2012,F,AL,13.0,51,48,25,21,2013-02-07,yes
34,CdS4,2016,M,LS,7.75,15,12,25,0,0000-00-00,no
35,CdS3,2016,M,LS,10.0,54,54,30,28,2017-06-13,yes
36,CdS3,2013,M,LS,16.0,24,24,22,25,2014-02-06,yes
37,CdS3,2016,M,LS,8.5,36,36,27,24,2017-06-27,yes
38,CdS3,2016,M,AL,2.0,27,24,20,21,2017-06-27,yes
39,CdS3,2015,M,LS,14.0,9,6,30,0,0000-00-00,no
40,CdS4,2016,M,TC,3.75,12,12,24,0,0000-00-00,no
41,CdS3,2016,M,IT,2.25,6,6,29,0,0000-00-00,no
42,CdS3,2011,M,IT,11.0,15,15,24,20,2013-02-28,yes
43,CdS4,2016,M,LS,8.25,36,36,20,18,2017-02-23,yes
44,CdS3,2011,F,LS,10.0,27,24,20,18,2012-06-11,yes
45,CdS3,2016,F,AL,2.5,12,12,29,0,0000-00-00,no
46,CdS4,2012,F,IT,14.0,39,36,27,20,2015-09-17,yes
47,CdS4,2012,M,IT,10.0,15,12,20,0,0000-00-00,no
48,CdS3,2013,F,LS,15.0,18,18,30,30,2014-02-27,yes
49,CdS3,2011,M,LS,14.0,15,15,30,0,0000-00-00,no
50,CdS3,2010,M,LS,14.0,33,33,28,22,2011-06-23,yes
51,CdS4,2015,M,LS,20.0,24,24,25,24,2016-01-19,yes
52,CdS4,2010,M,LC,9.0,60,57,26,20,2011-07-11,yes
53,CdS3,2012,F,AL,8.0,3,0,0,0,0000-00-00,no
54,CdS3,2016,F,LC,6.75,42,42,28,25,2017-06-27,yes
55,CdS3,2013,F,LS,12.0,12,12,24,0,0000-00-00,no
56,CdS3,2016,F,IT,5.5,57,54,23,18,2017-06-13,yes
57,CdS4,2015,M,IT,15.0,39,36,27,18,2018-02-22,yes
